,model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,-0.48583533505791665,mean_absolute_percentage_error,0.04058670997619629,12.329378843307495,0.0005059242248535156,0.1329655647277832,2,True,11
1,LightGBMXT,-0.5207327470997565,mean_absolute_percentage_error,0.01800060272216797,6.3787102699279785,0.01800060272216797,6.3787102699279785,1,True,3
2,LightGBM,-0.6656202577143407,mean_absolute_percentage_error,0.004983425140380859,1.8897373676300049,0.004983425140380859,1.8897373676300049,1,True,4
3,CatBoost,-0.6921518693253872,mean_absolute_percentage_error,0.009427309036254883,37.29406428337097,0.009427309036254883,37.29406428337097,1,True,6
4,XGBoost,-0.7173435299504737,mean_absolute_percentage_error,0.005980968475341797,3.3764755725860596,0.005980968475341797,3.3764755725860596,1,True,9
5,NeuralNetFastAI,-0.7201041485091718,mean_absolute_percentage_error,0.016099214553833008,2.441227436065674,0.016099214553833008,2.441227436065674,1,True,8
6,RandomForestMSE,-0.9249710568983136,mean_absolute_percentage_error,0.12515592575073242,5.6066765785217285,0.12515592575073242,5.6066765785217285,1,True,5
7,LightGBMLarge,-0.9380838280652656,mean_absolute_percentage_error,0.0020177364349365234,5.282388210296631,0.0020177364349365234,5.282388210296631,1,True,10
8,ExtraTreesMSE,-0.9755419830808405,mean_absolute_percentage_error,0.09456372261047363,1.3130342960357666,0.09456372261047363,1.3130342960357666,1,True,7
9,KNeighborsDist,-2.419221981918711,mean_absolute_percentage_error,0.006577491760253906,0.022055864334106445,0.006577491760253906,0.022055864334106445,1,True,2
10,KNeighborsUnif,-2.421529655352624,mean_absolute_percentage_error,0.011543989181518555,0.023586511611938477,0.011543989181518555,0.023586511611938477,1,True,1
