,importance,stddev,p_value,n,p99_high,p99_low
f_1,3.3112753493950384,1.3444843075793125,0.002651653822925769,5,6.079587121448778,0.5429635773412982
f_3,1.7135422967210565,0.5012061974853833,0.0007864697151463886,5,2.745532784749291,0.6815518086928216
f_4,1.5809573148445786,0.8634520420321539,0.007461974599817383,5,3.3588170035642593,-0.19690237387510234
f_2,1.414170758796279,0.6372481195516357,0.0038468999754912494,5,2.7262734446581116,0.10206807293444653
f_35,1.2986457545229217,0.5738348624128834,0.0035891473163779993,5,2.480179667471707,0.11711184157413634
f_38,0.8236147208389643,0.16685355720030146,0.00019152582434556095,5,1.1671685012756232,0.4800609404023053
f_28,0.6623361007602699,0.3958922169567052,0.010051887789542305,5,1.4774836472860584,-0.15281144576551864
f_41,0.4910189748719769,0.15629751900240177,0.0010816564906439648,5,0.8128377267592075,0.16920022298474618
f_0,0.42761410071028055,0.1442043966788713,0.001341976301324019,5,0.724532946588649,0.1306952548319122
f_37,0.38394980077912333,0.11601857468406518,0.0008893809994758242,5,0.6228336496007261,0.14506595195752064
f_36,0.3839030909168654,0.15976245516297208,0.0028974792973379083,5,0.7128561942492175,0.054949987584513305
f_26,0.20559605730756497,0.06007518155306872,0.0007834499013431044,5,0.3292916864525821,0.0819004281625478
f_40,0.2007359649608666,0.08902196305100803,0.0036356166372475455,5,0.38403341729717866,0.01743851262455451
f_39,0.199251025704191,0.09168899187239696,0.004141921139412519,5,0.38803992724599856,0.01046212416238343
f_45,0.18654543215615788,0.11271491782382187,0.010410997926375967,5,0.41862700584112933,-0.04553614152881355
f_50,0.18343772411623688,0.0677315853524017,0.0018762873241618323,5,0.32289799450682705,0.04397745372564671
f_53,0.1639023700696594,0.01581165844549077,1.0265501019070326e-05,5,0.19645879334926908,0.13134594679004974
f_47,0.16183797274768186,0.1159718688986733,0.01775613874582537,5,0.40062565371162007,-0.07694970821625635
f_12,0.1541571040979221,0.11174106099697993,0.018378690284141744,5,0.38423349311629423,-0.07591928492045003
f_8,0.15411230151788183,0.08767332660377034,0.008547450491653048,5,0.33463289276919495,-0.02640828973343126
f_49,0.14030376441021702,0.08733113924990443,0.01145632716402882,5,0.32011978717038836,-0.03951225834995434
f_15,0.1312807075661455,0.16986487282934837,0.0795128216802492,5,0.4810348285038172,-0.21847341337152618
f_5,0.12577742042182546,0.07429424642003199,0.009671218180107327,5,0.2787503006562817,-0.027195459812630773
f_22,0.12174073223012682,0.10700364922699236,0.03185383036443032,5,0.34206272493610546,-0.09858126047585183
f_7,0.1185606401681357,0.16906180861454817,0.09596340554107913,5,0.46666124078800675,-0.22953996045173533
f_51,0.11471474236533605,0.07787301200918763,0.015051826666977262,5,0.27505635041166077,-0.04562686568098864
f_27,0.10202900496659724,0.07492164279246956,0.019105504152067743,5,0.25629370300344184,-0.05223569307024735
f_16,0.10162183694391835,0.07778266167748377,0.021591765248901905,5,0.2617774124084905,-0.0585337385206538
f_42,0.09981429648492099,0.07618467013135627,0.021415187397098988,5,0.2566795852694263,-0.057050992299584324
f_20,0.0978127631483549,0.03677596707427036,0.002005075264140546,5,0.1735349876521598,0.02209053864454999
f_13,0.09135929262320401,0.055480130836106374,0.010582082954107628,5,0.2055936488316455,-0.02287506358523747
f_17,0.08929788590151692,0.03589142005913361,0.0025561104827678404,5,0.16319881587541626,0.015396955927617584
f_25,0.08817560222043477,0.017263090184830632,0.00016764321353498023,5,0.12372054351226376,0.052630660928605785
f_29,0.0862935363630259,0.0871598504997166,0.045617504695360675,5,0.26575687321909836,-0.09316980049304656
f_33,0.08467690164920161,0.056216458530749865,0.014046407357391282,5,0.2004273667580443,-0.031073563459641088
f_46,0.08148185205984629,0.11047177747083026,0.08721760327280256,5,0.30894476875451354,-0.14598106463482097
f_19,0.07985865981735614,0.04065184571366883,0.005879144206184668,5,0.16356137201001825,-0.0038440523753059674
f_10,0.07770178821887777,0.043699543689759625,0.008228448568468842,5,0.1676797526679734,-0.012276176230217845
f_34,0.07588978525784043,0.02830719572485197,0.0019474999278292961,5,0.13417469250233371,0.017604878013347147
f_30,0.07450520693765599,0.032453158534541914,0.0034109361333176033,5,0.14132670891059657,0.007683704964715404
f_32,0.06542596344848098,0.059888328751383696,0.03549581823939731,5,0.1887368600922485,-0.057884933195286536
f_6,0.06515107660848685,0.039518192440915555,0.0105420403250197,5,0.1465195810437966,-0.01621742782682291
f_21,0.05816509282600781,0.13390948370673095,0.19320857688197773,5,0.3338865706039205,-0.2175563849519049
f_48,0.05263354190755054,0.0233696743220401,0.003651017931117756,5,0.10075202433985608,0.004515059475245005
f_52,0.05130141858638539,0.04889001400870389,0.039414225349119765,5,0.15196663316211093,-0.04936379598934013
f_23,0.049148349100367875,0.02512842216361914,0.005967703803585321,5,0.1008881176469631,-0.0025914194462273513
f_43,0.04671219921163598,0.06221909768323856,0.08424878604938635,5,0.17482218130074278,-0.08139778287747083
f_24,0.04161956918546583,0.013709402905058858,0.001229445320574384,5,0.0698474192510668,0.013391719119864857
f_31,0.02473997793077267,0.011424246641619807,0.004192870059671996,5,0.0482626596657366,0.0012172961958087439
f_54,0.021350279962738437,0.013279450815594167,0.011429048730561728,5,0.04869285273356222,-0.0059922928080853415
f_9,0.01384988546710697,0.027650233195719662,0.16270191762277234,5,0.07078209778392971,-0.04308232684971578
f_11,0.013768567597309067,0.007333429860811448,0.0068576427233891,5,0.028868201039492,-0.0013310658448738646
f_14,-0.0033083016308435463,0.02072384960503656,0.6304215275843952,5,0.039362391139967874,-0.04597899440165496
f_18,-0.003971427960413587,0.033957466832518185,0.5966954467566103,5,0.06594746558981038,-0.07389032151063754
f_44,-0.048979882827483355,0.04560885246321613,0.9628758127240121,5,0.04492937477561087,-0.14288914043057757
